Категория;Наименование;Цена;Ссылка
Готовая еда;Салат ЛЕНТА FRESH Курочка с нежным куриным филе и сочным ананасом, весовой;270.00 ₽;https://lenta.com/product/salat-kurochka-s-nezhnym-kurinym-file-i-sochnym-ananasom-ves-rossiya-11554/
Готовая еда;Пирог ЛЕНТА FRESH с мясом, весовой;439.99 ₽;https://lenta.com/product/pirog-lenta-s-myasom-ves-sp-rossiya-176101/
Готовая еда;Рис отварной ЛЕНТА FRESH, 200г;114.99 ₽;https://lenta.com/product/ris-otvarnojj-rossiya-200g-736513/
Готовая еда;Салат ЛЕНТА FRESH Сельдь с луком, весовой;240.00 ₽;https://lenta.com/product/salat-seld-s-lukom-ves-rossiya-83236/
Готовая еда;Свинина ЛЕНТА FRESH Богатырь, весовой;300.00 ₽;https://lenta.com/product/svinina-bogatyr-ves-rossiya-100629/
Готовая еда;Сырники ЛЕНТА FRESH Домашние с начинкой вареная сгущенка, весовые;160.00 ₽;https://lenta.com/product/syrniki-domashnie-s-nachinkojj-varenaya-sgushchenka-ves-rossiya-587283/
Готовая еда;Салат ЛЕНТА FRESH Овощной букет, весовой;150.00 ₽;https://lenta.com/product/salat-ovoshchnojj-buket-ves-rossiya-452285/
Готовая еда;Ролл ЛЕНТА FRESH Шаверма, 200г;183.99 ₽;https://lenta.com/product/roll-shaverma-lenta-rossiya-200g-382711/
Готовая еда;Селедочка ЛЕНТА FRESH по-русски, весовая;189.00 ₽;https://lenta.com/product/seledochka-po-russki-ves-rossiya-547448/
Готовая еда;Оладушки МИРАТОРГ Домашние, 100г;69.99 ₽;https://lenta.com/product/oladushki-domashnie-rossiya-100g-745521/
Готовая еда;Капуста квашеная БЕЛОРУЧКА с морковью;75.00 ₽;https://lenta.com/product/kapusta-kvashenaya-s-morkovyu-rossiya-81030/
Готовая еда;Салат ЛЕНТА FRESH Монастырский, весовой;134.70 ₽;https://lenta.com/product/salat-monastyrskijj-ves-rossiya-11283/
Готовая еда;Греча отварная ЛЕНТА FRESH, 200г;74.99 ₽;https://lenta.com/product/grecha-otvarnaya-rossiya-200g-736246/
Готовая еда;Морковь ЛЕНТА FRESH По-корейски, весовая;138.00 ₽;https://lenta.com/product/morkov-po-korejjski-ves-rossiya-371927/
Готовая еда;Салат ЛЕНТА FRESH Грация, весовой;330.00 ₽;https://lenta.com/product/salat-graciya-ves-rossiya-120837/
Готовая еда;Паста пенне в томатном соусе с куриными фрикадельками ЛЕНТА FRESH, 340г;299.99 ₽;https://lenta.com/product/pasta-penne-v-tomatnom-souse-s-kurinymi-frikadelkami-rossiya-340g-686178/
Готовая еда;Картофель жареный ЛЕНТА FRESH с грибами, весовой;177.00 ₽;https://lenta.com/product/kartofel-zharenyjj-s-gribami-vesovojj-rossiya-87711/
Готовая еда;Салат ЛЕНТА FRESH Выборгский с говяжьим языком, весовой;330.00 ₽;https://lenta.com/product/salat-vyborgskijj-s-govyazhim-yazykom-ves-rossiya-93955/
Готовая еда;Рулетики ЛЕНТА FRESH Праздничные, весовые;285.00 ₽;https://lenta.com/product/ruletiki-prazdnichnye-ves-rossiya-74718/
Готовая еда;Плов из свинины ЛЕНТА FRESH, весовой;135.00 ₽;https://lenta.com/product/plov-iz-svininy-vesovojj-rossiya-11818/
Готовая еда;Салат ЛЕНТА FRESH Шаверма, весовой;162.18 ₽;https://lenta.com/product/salat-shaverma-ves-rossiya-658411/
