Категория;Наименование;Цена;Ссылка
Овощи и фрукты;Баклажаны, весовые;130.00 ₽;https://lenta.com/product/380001-baklazhany-ves/
Овощи и фрукты;Миндаль DOLCE ALBERO в соленой карамели, 200г;319.99 ₽;https://lenta.com/product/476970-mindal-v-solenojj-karameli-rossiya-200g/
Овощи и фрукты;Огурцы тепличные гладкие среднеплодные, 600г;109.99 ₽;https://lenta.com/product/411017-ogurcy-sredneplodnye-gladkie-teplichnye-rossiya-600g/
Овощи и фрукты;Миндаль жареный, весовой;375.00 ₽;https://lenta.com/product/453027-yadra-orehov-mindalya-zharenyjj-ves/
Овощи и фрукты;Грецкий орех ОРЕХОВАЯ ДОЛИНА, 250г;249.99 ₽;https://lenta.com/product/748337-greckijj-oreh-rossiya-250g/
Овощи и фрукты;Арахис SMAKKY со вкусом пряный Спайси, 150г;109.99 ₽;https://lenta.com/product/693660-arahis-so-vkusom-spajjsi-pryanyjj-kitajj-150g/
Овощи и фрукты;Груши Ред Бартлетт, весовые;120.00 ₽;https://lenta.com/product/164979-grusha-red-bartlett-ves/
Овощи и фрукты;Салат листовой Фриллис, 100г;139.99 ₽;https://lenta.com/product/370205-salat-listovojj-frillis-up-100g/
Овощи и фрукты;Кешью СЕМУШКА жареный, 250г;649.99 ₽;https://lenta.com/product/440983-keshyu-zharenyjj-rossiya-250g/
Овощи и фрукты;Шампиньоны ЛЕНТА FRESH, 250г;99.99 ₽;https://lenta.com/product/558639-griby-shampinony-250g/
Овощи и фрукты;Крем-суп Тыквенный с кокосовыми сливками, 1л;349.99 ₽;https://lenta.com/product/627791-krem-sup-tykvennyjj-s-kokosovymi-slivkami-sterilizovannyjj-i-asepticheski-upakovan-belarus-1000ml/
Овощи и фрукты;Лавровый лист, 50г;39.00 ₽;https://lenta.com/product/272325-lavrovyjj-list-50g/
Овощи и фрукты;Миндаль SMAKKY жареный, манчи масала, 150г;219.99 ₽;https://lenta.com/product/703077-mindal-zharenyjj-manchi-masala-rossiya-150g/
Овощи и фрукты;Авокадо, весовой;148.00 ₽;https://lenta.com/product/638739-avokado-ves/
